source,symbol,date,open,high,low,close,volume
vnstock,VNM,2024-01-02,84800,85300,84700,85000,1200000
vnstock,VNM,2024-01-03,85000,85400,84900,85200,1100000
vnstock,VNM,2024-01-04,85200,85300,84600,84800,1300000
vnstock,VNM,2024-01-05,84800,85600,84700,85500,1250000
vnstock,VNM,2024-01-08,85500,86100,85400,86000,1400000
vnstock,VNM,2024-01-09,86000,86200,85500,85700,1150000
vnstock,VNM,2024-01-10,85700,86300,85600,86200,1350000
vnstock,VNM,2024-01-11,86200,86700,86000,86500,1280000
vnstock,VNM,2024-01-12,86500,86600,85900,86100,1220000
vnstock,VNM,2024-01-15,86100,86900,86000,86800,1400000
yfinance,AAPL,2024-01-02,184.2,185.5,183.9,185.0,52000000
yfinance,AAPL,2024-01-03,185.0,186.5,184.7,186.2,48000000
yfinance,AAPL,2024-01-04,186.2,186.9,184.5,184.9,55000000
yfinance,AAPL,2024-01-05,184.9,187.5,184.6,187.1,51000000
yfinance,AAPL,2024-01-08,187.1,188.4,186.9,188.0,49000000
yfinance,AAPL,2024-01-09,188.0,188.6,187.0,187.5,47000000
yfinance,AAPL,2024-01-10,187.5,189.5,187.2,189.2,53000000
yfinance,AAPL,2024-01-11,189.2,190.3,188.9,190.0,50000000
yfinance,AAPL,2024-01-12,190.0,190.5,188.4,188.8,46000000
yfinance,AAPL,2024-01-15,188.8,191.8,188.5,191.5,54000000
